scenario,scenario_label,step,id,nombre,escala,initial_rank,current_rank_before_build,own_score,initial_own_score,delta_own_score_vs_G0,score_eval_rmc,score_eval_balanceado,score_eval_logit,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists,cum_own_score,cum_own_score_discounted,cum_eval_rmc,cum_eval_balanceado,cum_eval_logit
logit,Logit (Biogeme),1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,1,0.7150180885082573,0.7150180885082573,0,0.6686769070660649,0.6632466132986395,0.7150180885082573,44459,550242,58232,217,3,140,1192,1192,44459,58232,217,0.7150180885082573,0.7150180885082573,0.6686769070660649,0.6632466132986395,0.7150180885082573
logit,Logit (Biogeme),2,EP-I34,VICUÑA MACKENNA,Intercomunal,5,1,0.5583073246720296,0.5583073246720296,0,0.4789418889773093,0.4368055224633501,0.5583073246720296,0,0,0,271,2,139,539,1731,44459,58232,488,1.273325413180287,1.2454100469466853,1.1476187960433741,1.1000521357619897,1.273325413180287
logit,Logit (Biogeme),3,I26,SAN PABLO,Intercomunal,3,1,0.5580785407588081,0.5931326335081755,-0.03505409274936733,0.5863061971581027,0.5639825636469636,0.5580785407588081,33063,89662,24215,154,2,138,883,2614,77522,82447,642,1.8314039539390952,1.7490759299815095,1.7339249932014769,1.6640346994089534,1.8314039539390952
logit,Logit (Biogeme),4,I14,LO OVALLE,Intercomunal,2,1,0.5576129190047813,0.6811390619717375,-0.12352614296695619,0.535283009526993,0.4858128839111036,0.5576129190047813,45894,53668,20424,228,1,138,1374,3988,123416,102871,870,2.3890168729438765,2.227159306413234,2.26920800272847,2.149847583320057,2.3890168729438765
logit,Logit (Biogeme),5,I25,SAN FRANCISCO,Intercomunal,20,1,0.7330711122765435,0.40865214895636653,0.324418963320177,0.6475103033211085,0.6616090422372957,0.7330711122765435,26575,599607,109712,210,2,137,1001,4989,149991,212583,1080,3.12208798522042,2.82425030905693,2.916718306049578,2.8114566255573528,3.12208798522042
logit,Logit (Biogeme),6,I11,JOSE JOAQUIN PEREZ,Intercomunal,10,1,0.5408411043502135,0.4916163602503147,0.0492247440998988,0.6077012244105292,0.563328432323428,0.5408411043502135,28111,1281032,56159,107,1,137,690,5679,178102,268742,1187,3.6629290895706337,3.2427428458195733,3.5244195304601074,3.3747850578807808,3.6629290895706337
logit,Logit (Biogeme),7,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,18,1,0.5384717564727108,0.41726561469705503,0.1212061417756558,0.5367589132544363,0.5189995891333469,0.5384717564727108,9981,467175,46473,149,3,135,1435,7114,188083,315215,1336,4.201400846043344,3.638569067333263,4.061178443714543,3.8937846470141277,4.201400846043344
logit,Logit (Biogeme),8,C068,SAN CARLOS,Comunal,14,1,0.5513583914375612,0.4515201464217506,0.09983824501581057,0.5656875895988716,0.613742088046546,0.5513583914375612,35574,366698,74223,67,3,133,587,7701,223657,389438,1403,4.752759237480905,4.023603195588368,4.626866033313415,4.507526735060674,4.752759237480905
logit,Logit (Biogeme),9,I16,MATTA-VESPUCIO NORTE,Intercomunal,6,1,0.5234634421223687,0.5234634421223687,0,0.5227107068074346,0.5502072458808959,0.5234634421223687,34088,84165,18290,126,3,131,990,8691,257745,407728,1529,5.276222679603274,4.370879538125247,5.14957674012085,5.05773398094157,5.276222679603274
logit,Logit (Biogeme),10,I22,PEDRO FONTOVA,Intercomunal,22,1,0.5971767619797479,0.38844426551289746,0.20873249646685044,0.6467041947023485,0.6538568119005631,0.5971767619797479,16446,1205264,80382,72,3,129,688,9379,274191,488110,1601,5.873399441583022,4.747249839864237,5.796280934823198,5.711590792842133,5.873399441583022
logit,Logit (Biogeme),11,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,4,1,0.5331653118318042,0.5751240467845989,-0.041958734952794785,0.5299199532739515,0.5180969053914409,0.5331653118318042,0,64354,28552,156,3,127,341,9720,274191,516662,1757,6.406564753414826,5.066475606778487,6.32620088809715,6.229687698233573,6.406564753414826
logit,Logit (Biogeme),12,C066,CUATRO PONIENTE,Comunal,7,1,0.51907901501457,0.51907901501457,0,0.572487990377622,0.5773870627172858,0.51907901501457,49812,126728,29943,101,1,127,676,10396,324003,546605,1858,6.925643768429396,5.361727798417548,6.898688878474772,6.807074760950859,6.925643768429396
logit,Logit (Biogeme),13,I04,DEL FERROCARRIL,Intercomunal,34,1,0.49741664398463986,0.3273072141945243,0.17010942979011556,0.5570843850592357,0.553325606357454,0.49741664398463986,6753,436519,68501,59,3,125,652,11048,330756,615106,1917,7.423060412414036,5.630511899765943,7.455773263534008,7.360400367308313,7.423060412414036
logit,Logit (Biogeme),14,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,9,1,0.48721024199817337,0.4964116718897393,-0.009201429891565915,0.578017387899666,0.5383514023231284,0.48721024199817337,28110,40675,21894,108,2,124,800,11848,358866,637000,2025,7.9102706544122094,5.880617420388397,8.033790651433673,7.898751769631441,7.9102706544122094
logit,Logit (Biogeme),15,I15,MARTINEZ DE ROZAS,Intercomunal,8,1,0.462531169791755,0.518595463776038,-0.05606429398428303,0.4148837713854609,0.33878477222289866,0.462531169791755,0,0,0,251,1,124,640,12488,358866,637000,2276,8.372801824203965,6.106182298956872,8.448674422819133,8.23753654185434,8.372801824203965
logit,Logit (Biogeme),16,I06,DIAGONAL ORIENTE,Intercomunal,12,1,0.46237740043563735,0.45473446485931507,0.007642935576322285,0.4095135337352593,0.3358377454255065,0.46237740043563735,4804,4804,2794,254,1,124,1138,13626,363670,639794,2530,8.835179224639601,6.320397693602767,8.858187956554392,8.573374287279846,8.835179224639601
logit,Logit (Biogeme),17,I21,PEDRO DE VALDIVIA,Intercomunal,28,1,0.4618604135901872,0.36420943475113315,0.09765097883905405,0.547596515167422,0.5206277897414379,0.4618604135901872,14501,740880,25407,75,1,124,474,14100,378171,665201,2605,9.297039638229789,6.523674778818343,9.405784471721814,9.094002077021283,9.297039638229789
logit,Logit (Biogeme),18,EP-I10,GRAN AVENIDA,Intercomunal,13,1,0.474854616709208,0.45172686333548284,0.023127753373725135,0.513947320300614,0.49929749326495804,0.474854616709208,16187,21396,11712,124,2,123,913,15013,394358,676913,2729,9.771894254938998,6.7222211503371705,9.919731792022429,9.593299570286241,9.771894254938998
logit,Logit (Biogeme),19,I27,SANTA CECILIA - NONATO COO,Intercomunal,30,1,0.4637398136549818,0.35655039029155833,0.10718942336342346,0.5089639398517234,0.4878924496545857,0.4637398136549818,24624,24624,14290,124,1,123,644,15657,418982,691203,2853,10.23563406859398,6.906425244360075,10.428695731874152,10.081192019940827,10.23563406859398
logit,Logit (Biogeme),20,I01,BARÓN DE JURAS REALES,Intercomunal,15,1,0.4489005002894388,0.4362892727786841,0.012611227510754663,0.5116121978464763,0.47278393345847886,0.4489005002894388,16219,16219,9010,123,1,123,781,16438,435201,700213,2976,10.684534568883418,7.075819465324196,10.940307929720628,10.553975953399306,10.684534568883418
logit,Logit (Biogeme),21,EP-I33,LA CHIMBA,Intercomunal,17,1,0.4447675114935197,0.42108564009905036,0.02368187139446931,0.4333992278113977,0.3711347793680784,0.4447675114935197,4379,11547,5001,198,2,122,971,17409,439580,705214,3174,11.129302080376938,7.235262356939303,11.373707157532026,10.925110732767385,11.129302080376938
logit,Logit (Biogeme),22,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,11,1,0.4384052929091777,0.4713593486330748,-0.03295405572389715,0.48851713488671844,0.44152446245534527,0.4384052929091777,22368,22368,11753,138,1,122,1031,18440,461948,716967,3312,11.567707373286115,7.384566376465769,11.862224292418745,11.36663519522273,11.567707373286115
logit,Logit (Biogeme),23,C086,LA ESTRELLA,Comunal,42,1,0.3831335007758099,0.2845230093324997,0.09861049144331019,0.49707937215384324,0.4661919325763571,0.3831335007758099,5624,295545,26421,33,2,121,185,18625,467572,743388,3345,11.950840874061925,7.508522916169954,12.359303664572588,11.832827127799087,11.950840874061925
logit,Logit (Biogeme),24,I29,SANTA ROSA,Intercomunal,23,1,0.3729472027164556,0.3855511137724109,-0.012603911055955319,0.4128419291673215,0.35654823110212047,0.3729472027164556,5202,5202,2827,132,2,120,710,19335,472774,746215,3477,12.32378807677838,7.623150800223693,12.772145593739909,12.189375358901207,12.32378807677838
logit,Logit (Biogeme),25,I13,LO ESPEJO-RIQUELME,Intercomunal,37,1,0.37026233040716217,0.31781042777302104,0.05245190263414112,0.42599801430320505,0.3609336686925627,0.37026233040716217,5121,10062,4569,124,2,119,700,20035,477895,750784,3601,12.694050407185541,7.731263336828681,13.198143608043114,12.55030902759377,12.694050407185541
logit,Logit (Biogeme),26,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,19,1,0.35495458090900583,0.41189118489243726,-0.05693660398343142,0.39309133143635283,0.3597167796215602,0.35495458090900583,4221,4221,2516,109,1,119,644,20679,482116,753300,3710,13.049004988094547,7.829724036504669,13.591234939479467,12.91002580721533,13.049004988094547
