scenario,scenario_label,step,id,nombre,escala,initial_rank,current_rank_before_build,own_score,initial_own_score,delta_own_score_vs_G0,score_eval_rmc,score_eval_balanceado,score_eval_logit,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists,cum_own_score,cum_own_score_discounted,cum_eval_rmc,cum_eval_balanceado,cum_eval_logit
ponderacion_rmc,RMC,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,1,0.6686769070660649,0.6686769070660649,0,0.6686769070660649,0.6632466132986395,0.7150180885082573,44459,550242,58232,217,3,140,1192,1192,44459,58232,217,0.6686769070660649,0.6686769070660649,0.6686769070660649,0.6632466132986395,0.7150180885082573
ponderacion_rmc,RMC,2,I26,SAN PABLO,Intercomunal,3,1,0.5863061971581027,0.6268373699221884,-0.04053117276408569,0.5863061971581027,0.5639825636469636,0.5580785407588081,33063,89662,24215,154,2,139,883,2075,77522,82447,371,1.2549831042241677,1.2256677943662624,1.2549831042241677,1.2272291769456032,1.2730966292670653
ponderacion_rmc,RMC,3,I11,JOSE JOAQUIN PEREZ,Intercomunal,6,1,0.6007075437890453,0.5721603338810728,0.02854720990797255,0.6007075437890453,0.5575870061624664,0.5329090353964384,28111,1128669,53252,107,1,139,690,2765,105633,135699,478,1.855690648013213,1.7678063526358758,1.855690648013213,1.7848161831080696,1.8060056646635037
ponderacion_rmc,RMC,4,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,4,1,0.5933615731760592,0.5815413361963746,0.011820236979684595,0.5933615731760592,0.5454687000640831,0.5056325956134794,28110,292020,36471,108,2,138,800,3565,133743,172170,586,2.4490522211892722,2.2765397314376994,2.4490522211892722,2.3302848831721525,2.311638260276983
ponderacion_rmc,RMC,5,C066,CUATRO PONIENTE,Comunal,5,1,0.572487990377622,0.572487990377622,0,0.572487990377622,0.5773870627172858,0.51907901501457,49812,126728,29943,101,1,138,676,4241,183555,202113,687,3.021540211566894,2.7428347776502124,3.021540211566894,2.9076719458894384,2.830717275291553
ponderacion_rmc,RMC,6,C067,CARDENAL RAUL SILVA HENRIQUEZ,Comunal,57,1,0.552346446961781,0.31744308727562154,0.2349033596861595,0.552346446961781,0.5749759047117082,0.5315344741569213,4301,335823,85198,62,4,135,332,4573,187856,287311,749,3.573886658528675,3.1702299292050933,3.573886658528675,3.482647850601147,3.3622517494484745
ponderacion_rmc,RMC,7,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,9,1,0.5536853063056181,0.49632538126901565,0.05735992503660242,0.5536853063056181,0.5108992864955569,0.5018347815070069,45106,202871,27196,137,1,135,1031,5604,232962,314507,886,4.127571964834293,3.577239507828572,4.127571964834293,3.9935471370967037,3.8640865309554813
ponderacion_rmc,RMC,8,C068,SAN CARLOS,Comunal,12,1,0.5391152556715854,0.48156244324655567,0.05755281242502969,0.5391152556715854,0.5771506216021051,0.5268003110983982,35574,407794,74172,67,3,133,587,6191,268536,388679,953,4.666687220505878,3.9537237977571578,4.666687220505878,4.570697758698809,4.390886842053879
ponderacion_rmc,RMC,9,I16,MATTA-VESPUCIO NORTE,Intercomunal,8,1,0.5227107068074346,0.5227107068074346,0,0.5227107068074346,0.5502072458808959,0.5234634421223687,34088,84165,18290,126,3,131,990,7181,302624,406969,1079,5.189397927313313,4.300500760306757,5.189397927313313,5.120905004579704,4.914350284176248
ponderacion_rmc,RMC,10,I22,PEDRO FONTOVA,Intercomunal,14,1,0.6247029669832711,0.4728109936708254,0.1518919733124457,0.6247029669832711,0.6294273130210024,0.5803934766963939,16446,1185713,79843,72,3,129,688,7869,319070,486812,1151,5.814100894296584,4.694219436501175,5.814100894296584,5.750332317600707,5.494743760872641
ponderacion_rmc,RMC,11,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,27,1,0.5623691570918944,0.41460848628355157,0.14776067080834282,0.5623691570918944,0.5522463483715365,0.554917389217079,3668,484781,40791,147,3,127,1435,9304,322738,527603,1298,6.376470051388479,5.030930624340443,6.376470051388479,6.302578665972243,6.04966115008972
ponderacion_rmc,RMC,12,I04,DEL FERROCARRIL,Intercomunal,32,1,0.5720647554031296,0.3940478916997146,0.17801686370341502,0.5720647554031296,0.568014811623477,0.5062772506991399,14321,374008,67208,58,3,125,652,9956,337059,594811,1356,6.948534806791608,5.356321110001853,6.948534806791608,6.87059347759572,6.555938400788859
ponderacion_rmc,RMC,13,I21,PEDRO DE VALDIVIA,Intercomunal,20,1,0.5477374045178947,0.43141163724900483,0.11632576726888982,0.5477374045178947,0.5207669022568933,0.46194233347915475,14501,740377,25388,75,1,125,474,10430,351560,620199,1431,7.496272211309503,5.652296541923248,7.496272211309503,7.391360379852613,7.017880734268014
ponderacion_rmc,RMC,14,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,7,1,0.5617558828443984,0.558260973877864,0.0034949089665343713,0.5617558828443984,0.5538075658442363,0.5598594929616908,0,64354,33578,156,3,123,341,10771,351560,653777,1587,8.0580280941539,5.940669477117109,8.0580280941539,7.945167945696849,7.577740227229705
ponderacion_rmc,RMC,15,I10,GRAN AVENIDA,Intercomunal,28,1,0.5257981753640685,0.40682183317748805,0.11897634218658043,0.5257981753640685,0.5582340403872142,0.47867129969407146,38695,38695,20301,76,1,123,448,11219,390255,674078,1663,8.583826269517969,6.197088091306765,8.583826269517969,8.503401986084064,8.056411526923776
ponderacion_rmc,RMC,16,I01,BARÓN DE JURAS REALES,Intercomunal,11,1,0.5116121978464763,0.48687720322810635,0.02473499461836992,0.5116121978464763,0.47278393345847886,0.4489005002894388,16219,16219,9010,123,1,123,781,12000,406474,683088,1786,9.095438467364446,6.434113535811794,9.095438467364446,8.976185919542543,8.505312027213215
ponderacion_rmc,RMC,17,I27,SANTA CECILIA - NONATO COO,Intercomunal,42,1,0.5089639398517234,0.36006768212709356,0.14889625772462983,0.5089639398517234,0.4878924496545857,0.4637398136549818,24624,24624,14290,124,1,123,644,12644,431098,697378,1910,9.604402407216169,6.658122139122611,9.604402407216169,9.464078369197129,8.969051840868197
ponderacion_rmc,RMC,18,EP-I34,VICUÑA MACKENNA,Intercomunal,13,1,0.4789418889773093,0.4789418889773093,0,0.4789418889773093,0.4368055224633501,0.5583073246720296,0,0,0,271,2,122,539,13183,431098,697378,2181,10.083344296193477,6.858377482292309,10.083344296193477,9.900883891660479,9.527359165540226
ponderacion_rmc,RMC,19,EP-I10,GRAN AVENIDA,Intercomunal,19,1,0.46460786664517606,0.435180901694348,0.029426964950828083,0.46460786664517606,0.4443980419434942,0.43445454716156806,4764,9973,5817,127,2,121,913,14096,435862,703195,2308,10.547952162838653,7.0429263793920995,10.547952162838653,10.345281933603973,9.961813712701794
ponderacion_rmc,RMC,20,I25,SAN FRANCISCO,Intercomunal,43,1,0.4392701160270343,0.3566735624368237,0.08259655359021062,0.4392701160270343,0.4186762737454821,0.48727330048217926,29567,29567,15082,210,1,121,1001,15097,465429,718277,2518,10.987222278865687,7.208686540161003,10.987222278865687,10.763958207349456,10.449087013183973
ponderacion_rmc,RMC,21,I09,GENERAL VELASQUEZ,Intercomunal,15,1,0.4341813116960046,0.45347011016300426,-0.019288798466999657,0.4341813116960046,0.33226644714042414,0.2946997432163164,735,13323,5298,71,1,121,643,15740,466164,723575,2589,11.421403590561692,7.364334428176896,11.421403590561692,11.09622465448988,10.74378675640029
