strategy,step,id,nombre,escala,initial_rank,current_rank_before_build,initial_score,realized_score,delta_score_vs_G0,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,costo_mclp,grado_dendritico,score_dendritico,cum_realized_score,discounted_realized_score,cum_discounted_score,cum_poblacion_marginal,cum_demanda_habilitada,cum_ciclistas_inducidos,cum_costo_mclp
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,Intercomunal,1,1,0.6686769070660649,0.6686769070660649,0,44459,550242,58232,217,3,140,1192,1,100,0.6686769070660649,0.6686769070660649,0.6686769070660649,44459,58232,217,1192
eva_adaptive_fixed_set,2,I26,SAN PABLO,Intercomunal,3,1,0.6268373699221884,0.5863061971581027,-0.04053117276408569,33063,89662,24215,154,2,139,883,1,100,1.2549831042241677,0.5569908873001975,1.2256677943662624,77522,82447,371,2075
eva_adaptive_fixed_set,3,I11,JOSE JOAQUIN PEREZ,Intercomunal,6,1,0.5721603338810728,0.6007075437890453,0.02854720990797255,28111,1128669,53252,107,1,139,690,1,100,1.855690648013213,0.5421385582696134,1.7678063526358758,105633,135699,478,2765
eva_adaptive_fixed_set,4,I30,WALKER - HUALLE - AGUIRRE,Intercomunal,4,1,0.5815413361963746,0.5933615731760592,0.011820236979684595,28110,292020,36471,108,2,138,800,1,100,2.4490522211892722,0.5087333788018237,2.2765397314376994,133743,172170,586,3565
eva_adaptive_fixed_set,5,C066,CUATRO PONIENTE,Comunal,5,1,0.572487990377622,0.572487990377622,0,49812,126728,29943,101,1,138,676,2,50,3.021540211566894,0.4662950462125129,2.7428347776502124,183555,202113,687,4241
eva_adaptive_fixed_set,6,I14,LO OVALLE,Intercomunal,2,2,0.6371787956227899,0.5479931058375819,-0.08918568978520802,45894,53668,22244,228,1,138,1374,1,100,3.569533317404476,0.4240266191785407,3.166861396828753,229449,224357,915,5615
eva_adaptive_fixed_set,7,I10,GRAN AVENIDA,Intercomunal,28,2,0.40682183317748805,0.614945370876037,0.2081235376985489,19546,364298,92498,77,2,137,448,1,100,4.184478688280513,0.4520413553083577,3.6189027521371107,248995,316855,992,6063
eva_adaptive_fixed_set,8,C068,SAN CARLOS,Comunal,12,1,0.48156244324655567,0.5537704292814861,0.07220798603493045,35574,399707,73985,67,3,135,587,2,50,4.738249117561999,0.3867185442411081,4.0056212963782185,284569,390840,1059,6650
eva_adaptive_fixed_set,9,I19,PAC-LO ESPEJO-SN BDO,Intercomunal,27,1,0.41460848628355157,0.5612997129993577,0.1466912267158061,9981,535608,46952,149,3,133,1435,1,100,5.299548830561356,0.3723776976804607,4.377998994058679,294550,437792,1208,8085
eva_adaptive_fixed_set,10,I16,MATTA-VESPUCIO NORTE,Intercomunal,8,1,0.5227107068074346,0.5227107068074346,0,34088,84165,18290,126,3,131,990,2,50,5.822259537368791,0.32943811442211884,4.707437108480797,328638,456082,1334,9075
eva_adaptive_fixed_set,11,I22,PEDRO FONTOVA,Intercomunal,14,1,0.4728109936708254,0.6467041947023485,0.17389320103152311,16446,1205264,80382,72,3,129,688,1,100,6.468963732071139,0.3872056901287046,5.0946427986095015,345084,536464,1406,9763
eva_adaptive_fixed_set,12,I21,PEDRO DE VALDIVIA,Intercomunal,20,2,0.43141163724900483,0.529620179986615,0.0982085427376102,14501,736076,25307,75,1,129,474,1,100,6.998583912057755,0.3012480072478618,5.395890805857364,359585,561771,1481,10237
eva_adaptive_fixed_set,13,EP-ALAMEDA-T3,ALAMEDA TRAMO 3,Intercomunal,7,2,0.558260973877864,0.5295841323784292,-0.028676841499434835,0,64354,28552,156,3,127,341,0,100,7.528168044436184,0.28616612819674936,5.682056934054113,359585,590323,1637,10578
eva_adaptive_fixed_set,14,EP-I34,VICUÑA MACKENNA,Intercomunal,13,3,0.4789418889773093,0.4789418889773093,0,0,0,0,271,2,126,539,1,100,8.007109933413492,0.24586102705743326,5.927917961111547,359585,590323,1908,11117
eva_adaptive_fixed_set,15,I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,9,4,0.49632538126901565,0.4634436988107071,-0.032881682458308525,22608,22608,11791,138,1,126,1031,1,100,8.470553632224199,0.22600989613873537,6.153927857250282,382193,602114,2046,12148
eva_adaptive_fixed_set,16,I01,BARÓN DE JURAS REALES,Intercomunal,11,2,0.48687720322810635,0.4948211530703569,0.007943949842250553,16219,16219,9010,123,1,126,781,1,100,8.965374785294555,0.2292463007150331,6.383174157965315,398412,611124,2169,12929
